Elapsed Time (ms), Humidity (%)
12193, 43.09
14677, 43.04
17162, 43.05
19646, 43.03
22130, 43.04
24615, 43.04
27099, 43.03
29583, 43.05
32068, 43.02
34552, 43.04
37036, 43.07
39521, 43.06
42005, 43.08
44490, 43.05
46974, 43.02
49458, 43.08
51943, 43.11
54427, 43.13
56912, 43.12
59396, 43.07
61880, 43.11
64365, 43.09
66849, 43.12
69333, 43.11
71818, 43.12
74302, 43.10
76787, 43.06
79271, 43.13
81755, 43.18
84240, 43.14
86724, 43.16
89208, 43.19
91693, 43.15
94177, 43.15
96662, 43.16
99146, 43.18
101630, 43.16
104115, 43.10
106599, 43.12
109084, 43.09
111568, 43.07
114052, 43.11
116537, 43.14
119021, 43.15
121505, 43.15
123990, 43.13
126474, 43.11
128959, 43.11
131443, 43.06
133927, 43.07
136412, 43.06
138897, 43.02
141381, 43.02
143865, 43.02
146350, 43.03
148834, 43.02
151318, 42.99
153803, 43.05
156287, 43.03
158772, 43.05
161256, 43.04
163740, 43.06
166225, 43.03
168709, 43.02
171194, 43.00
173678, 43.02
176162, 43.01
178647, 43.00
181131, 43.01
183616, 43.01
186100, 43.02
188584, 43.00
191069, 42.98
193553, 42.95
196037, 42.97
198522, 43.00
201006, 42.95
203491, 42.91
205975, 42.87
208459, 42.90
210944, 42.82
213428, 42.86
215913, 42.88
218397, 42.90
220881, 42.94
223366, 42.88
225850, 42.99
228334, 42.99
230819, 42.96
233303, 42.97
235788, 42.94
238272, 43.00
240756, 42.99
243241, 42.99
245725, 42.97
248210, 42.99
250694, 43.03
253179, 42.99
255664, 42.96
258148, 42.95
260632, 42.92
263117, 42.97
265601, 43.01
268085, 42.95
270570, 42.92
273054, 42.92
275539, 42.94
278023, 42.94
280507, 42.90
282992, 42.95
285476, 42.95
287961, 42.99
290445, 42.97
292929, 42.96
295414, 42.95
297898, 42.92
300382, 42.97
302867, 42.97
305351, 43.00
307836, 43.01
310320, 42.96
312804, 43.00
315289, 43.03
317773, 43.04
320258, 42.99
322742, 42.97
325226, 42.92
327711, 43.02
330195, 42.99
332679, 42.95
335164, 42.98
337648, 42.95
340133, 42.98
342617, 42.91
345101, 42.96
347586, 42.93
350070, 42.92
352555, 42.91
355039, 42.89
357523, 42.86
360008, 42.84
362492, 42.86
364977, 42.80
367461, 42.79
369945, 42.76
372430, 42.72
374914, 42.76
377398, 42.72
379883, 42.68
382367, 42.71
384852, 42.71
387336, 42.71
389820, 42.70
392305, 42.69
394789, 42.63
397274, 42.71
399758, 42.67
402242, 42.70
404727, 42.65
407211, 42.69
409696, 42.69
412180, 42.70
414664, 42.69
417149, 42.74
419633, 42.70
422117, 42.70
424602, 42.71
427086, 42.69
429571, 42.69
432055, 42.72
434539, 42.72
437024, 42.70
439508, 42.65
441993, 42.66
444477, 42.68
446961, 42.65
449446, 42.67
451930, 42.69
454414, 42.64
456899, 42.63
459383, 42.69
461868, 42.71
464352, 42.72
466836, 42.69
469321, 42.73
471805, 42.73
474290, 42.70
476774, 42.75
479258, 42.77
481743, 42.75
484227, 42.74
486712, 42.80
489196, 42.81
491680, 42.80
494165, 42.77
496649, 42.84
499133, 42.83
501618, 42.84
504102, 42.82
506587, 42.84
509071, 42.79
511555, 42.83
514040, 42.81
516524, 42.85
519008, 42.84
521493, 42.82
523977, 42.80
526462, 42.84
528946, 42.88
531430, 42.90
533915, 42.88
536399, 42.91
538883, 42.90
541368, 42.96
543852, 42.94
546337, 42.95
548821, 42.99
551305, 42.98
553790, 42.94
556274, 42.96
558758, 42.93
561243, 42.95
563728, 42.95
566212, 42.89
568696, 42.89
571181, 42.87
573665, 42.86
576149, 42.84
578634, 42.80
581118, 42.75
583603, 42.83
586087, 42.79
588571, 42.79
591056, 42.76
593540, 42.80
596025, 42.80
598509, 42.74
600993, 42.72
603478, 42.71
605962, 42.70
608447, 42.72
610931, 42.74
613415, 42.75
615900, 42.79
618384, 42.79
620868, 42.81
623353, 42.85
625837, 42.86
628322, 42.85
630806, 42.84
633290, 42.89
635775, 42.89
638259, 42.94
640743, 42.91
643228, 43.04
645712, 43.06
648197, 43.07
650681, 43.07
653165, 43.05
655650, 43.08
658134, 43.06
660618, 43.06
663103, 43.11
665587, 43.07
668072, 43.09
670556, 43.06
673040, 43.02
675525, 43.01
678009, 43.01
680494, 43.03
682978, 43.01
685462, 42.98
687947, 42.95
690431, 42.92
692915, 42.89
695400, 42.91
697884, 42.84
700369, 42.84
702853, 42.90
705337, 42.87
707822, 42.89
710306, 42.87
712791, 42.86
715275, 42.86
717759, 42.83
720244, 42.75
722728, 42.75
725213, 42.70
727697, 42.68
730182, 42.64
732666, 42.62
735150, 42.61
737635, 42.57
740119, 42.58
742604, 42.53
745088, 42.52
747572, 42.54
750057, 42.51
752541, 42.51
755026, 42.49
757510, 42.47
759995, 42.42
762479, 42.46
764963, 42.44
767448, 42.47
769932, 42.41
772417, 42.42
774901, 42.44
777385, 42.39
779870, 42.43
782354, 42.40
784839, 42.36
787323, 42.35
789807, 42.40
792292, 42.42
794776, 42.44
797260, 42.48
799745, 42.45
802229, 42.48
804714, 42.43
807198, 42.40
809682, 42.51
812167, 42.48
814651, 42.48
817136, 42.49
819620, 42.51
822104, 42.51
824589, 42.53
827073, 42.53
829558, 42.50
832042, 42.46
834526, 42.48
837011, 42.47
839495, 42.47
841980, 42.54
844464, 42.52
846948, 42.52
849433, 42.55
851917, 42.57
854401, 42.59
856886, 42.64
859370, 42.55
861855, 42.50
864339, 42.56
866823, 42.55
869308, 42.54
871792, 42.61
874276, 42.60
876761, 42.60
879245, 42.65
881730, 42.57
884214, 42.65
886698, 42.60
889183, 42.63
891667, 42.65
894152, 42.62
896636, 42.70
899121, 42.67
901605, 42.70
904090, 42.69
906574, 42.64
909058, 42.69
911543, 42.67
914027, 42.71
916511, 42.69
918996, 42.68
921481, 42.66
923965, 42.66
926449, 42.65
928934, 42.64
931418, 42.63
933903, 42.63
936387, 42.65
938871, 42.63
941356, 42.63
943840, 42.62
946324, 42.65
948809, 42.63
951293, 42.61
953778, 42.63
956262, 42.58
958746, 42.60
961231, 42.61
963715, 42.54
966200, 42.54
968684, 42.55
971168, 42.53
973653, 42.48
976137, 42.42
978622, 42.47
981106, 42.42
983591, 42.41
986075, 42.49
988559, 42.52
991044, 42.46
993528, 42.47
996013, 42.45
998497, 42.46
1000981, 42.42
1003466, 42.43
1005950, 42.44
1008435, 42.46
1010919, 42.45
1013404, 42.43
1015888, 42.46
1018373, 42.43
1020857, 42.43
1023341, 42.47
1025826, 42.53
1028310, 42.51
1030795, 42.53
1033279, 42.48
1035764, 42.53
1038248, 42.47
1040732, 42.45
1043217, 42.42
1045701, 42.38
1048186, 42.36
1050670, 42.40
1053155, 42.39
1055639, 42.45
1058123, 42.46
1060608, 42.52
1063092, 42.49
1065577, 42.50
1068061, 42.50
1070546, 42.46
1073030, 42.48
1075515, 42.47
1077999, 42.42
1080483, 42.41
1082968, 42.41
1085452, 42.39
1087937, 42.43
1090421, 42.43
1092906, 42.44
1095390, 42.43
1097874, 42.42
1100359, 42.40
1102843, 42.37
1105328, 42.37
1107812, 42.34
1110296, 42.28
1112781, 42.28
1115265, 42.26
1117750, 42.24
1120234, 42.25
1122719, 42.24
1125203, 42.24
1127687, 42.23
1130172, 42.16
1132656, 42.14
1135141, 42.14
1137625, 42.12
1140109, 42.13
1142594, 42.17
1145078, 42.13
1147563, 42.15
1150047, 42.18
1152531, 42.20
1155016, 42.20
1157500, 42.22
1159985, 42.22
1162469, 42.25
1164954, 42.24
1167438, 42.22
1169923, 42.17
1172407, 42.12
1174892, 42.10
1177376, 42.10
1179860, 42.07
1182345, 42.05
1184829, 41.99
1187314, 42.00
1189798, 41.92
1192283, 41.93
